index,Name,value,url,rating
0,Plantex CCTV/DVR Cabinet Box/Network Rack/NVR - Server Rack/CCTV Camera Box with Lock/dvr Box for CCTV - (30D x 30W x 15H) - 1U - Transparent Glass Door Cabinet - (Metal),1449.0,https://www.amazon.in/Plantex-Cabinet-Network-Server-Socket/dp/B07KWR3DHG/ref=sr_1_1?dib=eyJ2IjoiMSJ9.sugbzROy6hlL6Kxk57HjNJm-B4o7nU8QiY0B4qHHMTmn7HFNEg5-2Y4WWEPFuEhFDKtgK4t6qG61Y-6XI52H8qOILloXDJ4h6e_RUI0nXYkXRKiNUj-oIZXJ3vCrW0ZLWX88AfFDHy3zDgPbnmYmwMR5ZKjBwLWjZud60YV5OWFgKUks8f182OGggAbHBkVDCqu1zEYz0vLOOg6vGiajkDQHCE5pxV4Z0dJ3p58FwVq0keTBBaa1SxAnAdEMdZ6yzyxbyM5bH2woG0sDzer3QBjjfRwClQN4RjJagp74UJQ.duZbvTf9qx-o92iOSqX5uF0pD4EcVUqEtiibuNRVZ38&dib_tag=se&keywords=Server+Rack+energy+efficient&qid=1744141020&sr=8-1,4.0
1,"Plantex CCTV/DVR Rack/NVR Cabinet Box/Network Rack/Server Rack/CCTV Camera Box with KeyLock/DVR Box for cctvwith Power Socket - 3U - (Off White & Gray), Metal Transparent Glass Door Cabinet Box",1949.0,https://www.amazon.in/Plantex-Cabinet-Network-Server-Socket/dp/B07D16LKJL/ref=sr_1_2?dib=eyJ2IjoiMSJ9.sugbzROy6hlL6Kxk57HjNJm-B4o7nU8QiY0B4qHHMTmn7HFNEg5-2Y4WWEPFuEhFDKtgK4t6qG61Y-6XI52H8qOILloXDJ4h6e_RUI0nXYkXRKiNUj-oIZXJ3vCrW0ZLWX88AfFDHy3zDgPbnmYmwMR5ZKjBwLWjZud60YV5OWFgKUks8f182OGggAbHBkVDCqu1zEYz0vLOOg6vGiajkDQHCE5pxV4Z0dJ3p58FwVq0keTBBaa1SxAnAdEMdZ6yzyxbyM5bH2woG0sDzer3QBjjfRwClQN4RjJagp74UJQ.duZbvTf9qx-o92iOSqX5uF0pD4EcVUqEtiibuNRVZ38&dib_tag=se&keywords=Server+Rack+energy+efficient&qid=1744141020&sr=8-2,4.0
2,"Crotomak 6U DVR, CCTV, NVR, Server, Network Rack with 4 Power Socket and AC Axial Cooling Fan -Transparent Glass Door, Metal Cabinet Box Wall mount (Size 6: 45 X 55 X 35 cm)",3999.0,https://www.amazon.in/Crotomak%C2%AE-6U-Rack-Network-Transparent/dp/B07WN9DVFH/ref=sr_1_3?dib=eyJ2IjoiMSJ9.sugbzROy6hlL6Kxk57HjNJm-B4o7nU8QiY0B4qHHMTmn7HFNEg5-2Y4WWEPFuEhFDKtgK4t6qG61Y-6XI52H8qOILloXDJ4h6e_RUI0nXYkXRKiNUj-oIZXJ3vCrW0ZLWX88AfFDHy3zDgPbnmYmwMR5ZKjBwLWjZud60YV5OWFgKUks8f182OGggAbHBkVDCqu1zEYz0vLOOg6vGiajkDQHCE5pxV4Z0dJ3p58FwVq0keTBBaa1SxAnAdEMdZ6yzyxbyM5bH2woG0sDzer3QBjjfRwClQN4RjJagp74UJQ.duZbvTf9qx-o92iOSqX5uF0pD4EcVUqEtiibuNRVZ38&dib_tag=se&keywords=Server+Rack+energy+efficient&qid=1744141020&sr=8-3,3.8
3,"LG 1.5 Ton 3 Star DUAL Inverter Split AC (Copper, AI Convertible 6-in-1, VIRAAT Mode, Diet Mode+, Faster Cooling & Energy Saving, HD Filter with Anti-Virus Protection, US-Q18JNXE, White)",37690.0,https://www.amazon.in/LG-Convertible-Anti-Virus-Protection-US-Q18JNXE/dp/B0DQQ4XDBB/ref=sr_1_1?dib=eyJ2IjoiMSJ9.Yx8EDskKuSK_J7p0DZKqXXtyiXDNTtSz7WmcMHjsEpwZBqGBoeKCaKt1HkTYWztvHk1WucqZIXc5HCTFp8TWtvt960GHFcSwi_dblwuw4jLscVn0bqGh68fL735-hLWjkOmQGLgGBCzpA9A4uEcOTabsRc93H4Kcuq0AstmEbQVQ961yvOywkAOXmKjkb26O5_c_lB-CYvM5_-ek8WswRdJQgHJt3is5D2Xt_z_HXCz70t2PVu55yNCp7XdVJ1wCjgvSPNpWc1-bav9VQSp82UTmB3y9NCW1vXU5TIN8wcE.UW_AZFpfxhQoCwe0X8n-fzY242s_RZgPvte6lF27l3U&dib_tag=se&keywords=Air+Conditioner+energy+efficient&qid=1744141022&sr=8-1,3.9
4,"LG 1.5 Ton 5 Star DUAL Inverter Split AC (Copper, AI Convertible 6-in-1, VIRAAT Mode, Faster Cooling & Energy Saving, 4 Way Swing, HD Filter with Anti-Virus Protection, US-Q19YNZE, White)",46490.0,https://www.amazon.in/LG-Convertible-Anti-Virus-Protection-US-Q19YNZE/dp/B0DRG7M72Z/ref=sr_1_2?dib=eyJ2IjoiMSJ9.Yx8EDskKuSK_J7p0DZKqXXtyiXDNTtSz7WmcMHjsEpwZBqGBoeKCaKt1HkTYWztvHk1WucqZIXc5HCTFp8TWtvt960GHFcSwi_dblwuw4jLscVn0bqGh68fL735-hLWjkOmQGLgGBCzpA9A4uEcOTabsRc93H4Kcuq0AstmEbQVQ961yvOywkAOXmKjkb26O5_c_lB-CYvM5_-ek8WswRdJQgHJt3is5D2Xt_z_HXCz70t2PVu55yNCp7XdVJ1wCjgvSPNpWc1-bav9VQSp82UTmB3y9NCW1vXU5TIN8wcE.UW_AZFpfxhQoCwe0X8n-fzY242s_RZgPvte6lF27l3U&dib_tag=se&keywords=Air+Conditioner+energy+efficient&qid=1744141022&sr=8-2,3.9
5,"Daikin 1.5 Ton 5 Star Inverter Split AC (Copper, PM 2.5 Filter, MTKM50U, White)",45990.0,https://www.amazon.in/Daikin-Inverter-Copper-Filter-MTKM50U/dp/B09R4RYCJ4/ref=sr_1_3?dib=eyJ2IjoiMSJ9.Yx8EDskKuSK_J7p0DZKqXXtyiXDNTtSz7WmcMHjsEpwZBqGBoeKCaKt1HkTYWztvHk1WucqZIXc5HCTFp8TWtvt960GHFcSwi_dblwuw4jLscVn0bqGh68fL735-hLWjkOmQGLgGBCzpA9A4uEcOTabsRc93H4Kcuq0AstmEbQVQ961yvOywkAOXmKjkb26O5_c_lB-CYvM5_-ek8WswRdJQgHJt3is5D2Xt_z_HXCz70t2PVu55yNCp7XdVJ1wCjgvSPNpWc1-bav9VQSp82UTmB3y9NCW1vXU5TIN8wcE.UW_AZFpfxhQoCwe0X8n-fzY242s_RZgPvte6lF27l3U&dib_tag=se&keywords=Air+Conditioner+energy+efficient&qid=1744141022&sr=8-3,4.0
6,"15W E-14 Refrigerator Bulb,Ideal for illuminating the interior of standard refrigerators, Energy-Efficient Lighting for a Cozy Atmosphere Pack of 2.",99.0,https://www.amazon.in/Refrigerator-illuminating-refrigerators-Energy-Efficient-Atmosphere/dp/B0DKTJ9HVT/ref=sr_1_1?dib=eyJ2IjoiMSJ9.4zP9CybTsI4n3T-7DcHihPoFONaziPX1fSE8ye4V-l-jaXGnGkN-b0dpeKi2RYgUZZNiZ8J7GZDJ_Vby6_fCEbByiczs3JlxFyOce13C0iBKBaEYqnZjK4f8PnQwOc0_6EwquOmYGSwk2MV4pdGk85K-sIHefEeB8tpqzVtttAMcPURmrgS0UpiSeReR1sE9TGexKbZA-ftY7OU-wbz8rh6j1KCb6GIQat2XU8sGwLs.HwEjXUASjV9JgiORhnX3BTA-VIr9wfTl1lvs_WG5vSk&dib_tag=se&keywords=Refrigerator+energy+efficient&qid=1744141026&sr=8-1,1.5
7,"Samsung 183 L, 5 Star, Digital Inverter, Direct-Cool Single Door Refrigerator (RR20D2825HV/NL, Himalaya Poppy Blue, Base Stand Drawer)",17490.0,https://www.amazon.in/Samsung-Direct-Cool-Refrigerator-RR20D2825HV-NL/dp/B0CPPJ1NW3/ref=sr_1_2?dib=eyJ2IjoiMSJ9.4zP9CybTsI4n3T-7DcHihPoFONaziPX1fSE8ye4V-l-jaXGnGkN-b0dpeKi2RYgUZZNiZ8J7GZDJ_Vby6_fCEbByiczs3JlxFyOce13C0iBKBaEYqnZjK4f8PnQwOc0_6EwquOmYGSwk2MV4pdGk85K-sIHefEeB8tpqzVtttAMcPURmrgS0UpiSeReR1sE9TGexKbZA-ftY7OU-wbz8rh6j1KCb6GIQat2XU8sGwLs.HwEjXUASjV9JgiORhnX3BTA-VIr9wfTl1lvs_WG5vSk&dib_tag=se&keywords=Refrigerator+energy+efficient&qid=1744141026&sr=8-2,4.3
8,"Samsung 236 L, 3 Star, Convertible, Digital Inverter with Display Frost Free Double Door Refrigerator (RT28C3733S8/HL, Silver, Elegant Inox)",26990.0,https://www.amazon.in/Samsung-Convertible-Refrigerator-RT28C3733S8-HL/dp/B0C2TPHG6Q/ref=sr_1_3?dib=eyJ2IjoiMSJ9.4zP9CybTsI4n3T-7DcHihPoFONaziPX1fSE8ye4V-l-jaXGnGkN-b0dpeKi2RYgUZZNiZ8J7GZDJ_Vby6_fCEbByiczs3JlxFyOce13C0iBKBaEYqnZjK4f8PnQwOc0_6EwquOmYGSwk2MV4pdGk85K-sIHefEeB8tpqzVtttAMcPURmrgS0UpiSeReR1sE9TGexKbZA-ftY7OU-wbz8rh6j1KCb6GIQat2XU8sGwLs.HwEjXUASjV9JgiORhnX3BTA-VIr9wfTl1lvs_WG5vSk&dib_tag=se&keywords=Refrigerator+energy+efficient&qid=1744141026&sr=8-3,4.2
9,"IFB 14 Place Settings with DeepClean® Technology Freestanding Dishwasher (Neptune FX14, White, 70° Hot Water Wash with Hygienic Steam Drying, Perfect for Indian Utensils)",37990.0,https://www.amazon.in/IFB-Settings-Dishwasher-FX14-Crockery/dp/B0D7PWGS5S/ref=sr_1_1?dib=eyJ2IjoiMSJ9.qeNu5t1RwtWnCvr3y2GHTA6u9DruvLVMRXzqIqsC6UoyYI2xz4siL1_wtyW-1VF1F__Ve6CNZ8QSdU7K0PLr4btQOQTUlRf6CxCFzOoN71A427MjbqtM40lyUHJ8janYiEKo1ad-xN5SpW2eYSi8eIZQpMVwY3W_DGnV3bKbER86j-kPPNoKTc6Er81BR_PyD4APuDEWX-3MZRUsF53c3ugrfca4LNeTkpRKz2iWtps.TkVfT1AwT2n0HNCzBYpcDkHMvA-PMTJXWzPrpEJYGCc&dib_tag=se&keywords=Dishwasher+energy+efficient&qid=1744141029&sr=8-1,3.8
