name,value,url
Plantex CCTV/DVR Cabinet Box/Network Rack/NVR - Server Rack/CCTV Camera Box with Lock/dvr Box for CCTV - (30D x 30W x 15H) - 1U - Transparent Glass Door Cabinet - (Metal),1449.0,https://www.amazon.in/sspa/click?ie=UTF8&spc=MToxNDQwNjgzNzEwMDI3MDQ6MTc0NDA0MDI3NjpzcF9hdGY6MzAwMTQ4OTU2NjYzNTMyOjowOjo&url=%2FPlantex-Cabinet-Network-Server-Socket%2Fdp%2FB07KWR3DHG%2Fref%3Dsr_1_1_sspa%3Fdib%3DeyJ2IjoiMSJ9.q_SM9EZdQUUwuPNL6xd8tfciZcjzw9v1Q28BoOA-yMAVtN8e3nt_qTyRwN9Qmn8JF9zAgAnf3ag-zC0ChJ9xGyyO0Y9SGpsfFSWtdnliWV8pxyfKenfiI4w77eYC-2ULVcAr6zQJ72N19qEeNIbVu-pJbnQm7LaBcqtNYHydi1M732YEPbi6ZF4bTfO5OdmzQ9vg4Hylk9j_mh-vTTfx_yiufcw-_cjsFnlY3zi_2t1Se5Q0gyYEiHOrcuc6awUtyP7lSJPtOqjJLnVRNejXMdSyggDScvOYnUD0rjSSeF0.erlZwHXomS4veY_i3kKPmy7ydUGI6jhZo9P7H__aApE%26dib_tag%3Dse%26keywords%3DServer%2BRack%2Benergy%2Befficient%26qid%3D1744040276%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1
"Crotomak 6U DVR, CCTV, NVR, Server, Network Rack with 4 Power Socket and AC Axial Cooling Fan -Transparent Glass Door, Metal Cabinet Box Wall mount (Size 6: 45 X 55 X 35 cm)",3999.0,https://www.amazon.in/Crotomak%C2%AE-6U-Rack-Network-Transparent/dp/B07WN9DVFH/ref=sr_1_2?dib=eyJ2IjoiMSJ9.q_SM9EZdQUUwuPNL6xd8tfciZcjzw9v1Q28BoOA-yMAVtN8e3nt_qTyRwN9Qmn8JF9zAgAnf3ag-zC0ChJ9xGyyO0Y9SGpsfFSWtdnliWV8pxyfKenfiI4w77eYC-2ULVcAr6zQJ72N19qEeNIbVu-pJbnQm7LaBcqtNYHydi1M732YEPbi6ZF4bTfO5OdmzQ9vg4Hylk9j_mh-vTTfx_yiufcw-_cjsFnlY3zi_2t1Se5Q0gyYEiHOrcuc6awUtyP7lSJPtOqjJLnVRNejXMdSyggDScvOYnUD0rjSSeF0.erlZwHXomS4veY_i3kKPmy7ydUGI6jhZo9P7H__aApE&dib_tag=se&keywords=Server+Rack+energy+efficient&qid=1744040276&sr=8-2
Server Rack 6U Combo Wall Mounted Rack with 6 Power Socket & Cable - Lock & Keys - Tray (1 No) - 1 Cooling Fan and Adjustable Shelf,3495.0,https://www.amazon.in/Server-Rack-Combo-Mounted-Socket/dp/B082ZQP94P/ref=sr_1_3?dib=eyJ2IjoiMSJ9.q_SM9EZdQUUwuPNL6xd8tfciZcjzw9v1Q28BoOA-yMAVtN8e3nt_qTyRwN9Qmn8JF9zAgAnf3ag-zC0ChJ9xGyyO0Y9SGpsfFSWtdnliWV8pxyfKenfiI4w77eYC-2ULVcAr6zQJ72N19qEeNIbVu-pJbnQm7LaBcqtNYHydi1M732YEPbi6ZF4bTfO5OdmzQ9vg4Hylk9j_mh-vTTfx_yiufcw-_cjsFnlY3zi_2t1Se5Q0gyYEiHOrcuc6awUtyP7lSJPtOqjJLnVRNejXMdSyggDScvOYnUD0rjSSeF0.erlZwHXomS4veY_i3kKPmy7ydUGI6jhZo9P7H__aApE&dib_tag=se&keywords=Server+Rack+energy+efficient&qid=1744040276&sr=8-3
CP PLUS CCTV/Server Rack 2U CCTV/DVR/NVR Cabinet Box/DVR Rack Wall Mount with Lock/Network Rack/Server Rack (Grey),950.0,https://www.amazon.in/CP-PLUS-Server-Cabinet-Network/dp/B08DRRWQJ8/ref=sr_1_4?dib=eyJ2IjoiMSJ9.q_SM9EZdQUUwuPNL6xd8tfciZcjzw9v1Q28BoOA-yMAVtN8e3nt_qTyRwN9Qmn8JF9zAgAnf3ag-zC0ChJ9xGyyO0Y9SGpsfFSWtdnliWV8pxyfKenfiI4w77eYC-2ULVcAr6zQJ72N19qEeNIbVu-pJbnQm7LaBcqtNYHydi1M732YEPbi6ZF4bTfO5OdmzQ9vg4Hylk9j_mh-vTTfx_yiufcw-_cjsFnlY3zi_2t1Se5Q0gyYEiHOrcuc6awUtyP7lSJPtOqjJLnVRNejXMdSyggDScvOYnUD0rjSSeF0.erlZwHXomS4veY_i3kKPmy7ydUGI6jhZo9P7H__aApE&dib_tag=se&keywords=Server+Rack+energy+efficient&qid=1744040276&sr=8-4
"Tecmojo 9U Portable Rolling Network Rack，4-Post Mobile Open Frame Server Rack with Wheels,19 inch Small Server Rack Cabinet",52686.52,https://www.amazon.in/Tecmojo-Portable-Rolling-Network-Rack%EF%BC%8C4-Post/dp/B0CLGV9MHF/ref=sr_1_5?dib=eyJ2IjoiMSJ9.q_SM9EZdQUUwuPNL6xd8tfciZcjzw9v1Q28BoOA-yMAVtN8e3nt_qTyRwN9Qmn8JF9zAgAnf3ag-zC0ChJ9xGyyO0Y9SGpsfFSWtdnliWV8pxyfKenfiI4w77eYC-2ULVcAr6zQJ72N19qEeNIbVu-pJbnQm7LaBcqtNYHydi1M732YEPbi6ZF4bTfO5OdmzQ9vg4Hylk9j_mh-vTTfx_yiufcw-_cjsFnlY3zi_2t1Se5Q0gyYEiHOrcuc6awUtyP7lSJPtOqjJLnVRNejXMdSyggDScvOYnUD0rjSSeF0.erlZwHXomS4veY_i3kKPmy7ydUGI6jhZo9P7H__aApE&dib_tag=se&keywords=Server+Rack+energy+efficient&qid=1744040276&sr=8-5
RAISING ELECTRONICS Cantilever Server Shelf Shelves Rack Mount 19inch 1U 8inch(210mm) Deep Aluminum,4888.0,https://www.amazon.in/RAISING-ELECTRONICS-Cantilever-Shelves-Aluminum/dp/B07NBVVY1X/ref=sr_1_6?dib=eyJ2IjoiMSJ9.q_SM9EZdQUUwuPNL6xd8tfciZcjzw9v1Q28BoOA-yMAVtN8e3nt_qTyRwN9Qmn8JF9zAgAnf3ag-zC0ChJ9xGyyO0Y9SGpsfFSWtdnliWV8pxyfKenfiI4w77eYC-2ULVcAr6zQJ72N19qEeNIbVu-pJbnQm7LaBcqtNYHydi1M732YEPbi6ZF4bTfO5OdmzQ9vg4Hylk9j_mh-vTTfx_yiufcw-_cjsFnlY3zi_2t1Se5Q0gyYEiHOrcuc6awUtyP7lSJPtOqjJLnVRNejXMdSyggDScvOYnUD0rjSSeF0.erlZwHXomS4veY_i3kKPmy7ydUGI6jhZo9P7H__aApE&dib_tag=se&keywords=Server+Rack+energy+efficient&qid=1744040276&sr=8-6
Zuumstar Rack 2U Folding Standard 500x300 CCTV/DVR/NVR Cabinet Box/DVR Rack Wall Mount with Lock/Network Rack/Server Rack - 2U Rack,790.0,https://www.amazon.in/Zuumstar-Folding-Standard-500x300-Cabinet/dp/B0CYL8TBHK/ref=sr_1_7?dib=eyJ2IjoiMSJ9.q_SM9EZdQUUwuPNL6xd8tfciZcjzw9v1Q28BoOA-yMAVtN8e3nt_qTyRwN9Qmn8JF9zAgAnf3ag-zC0ChJ9xGyyO0Y9SGpsfFSWtdnliWV8pxyfKenfiI4w77eYC-2ULVcAr6zQJ72N19qEeNIbVu-pJbnQm7LaBcqtNYHydi1M732YEPbi6ZF4bTfO5OdmzQ9vg4Hylk9j_mh-vTTfx_yiufcw-_cjsFnlY3zi_2t1Se5Q0gyYEiHOrcuc6awUtyP7lSJPtOqjJLnVRNejXMdSyggDScvOYnUD0rjSSeF0.erlZwHXomS4veY_i3kKPmy7ydUGI6jhZo9P7H__aApE&dib_tag=se&keywords=Server+Rack+energy+efficient&qid=1744040276&sr=8-7
"Exxelo The U CCTV/DVR/NVR Cabinet Box, Wall Mount DVR Rack With Lock, Network Server Rack (4U) Enhances Security and Organization for Efficient Equipment Management",1889.0,https://www.amazon.in/Exxelo-Organization-efficient-Equipment-Management/dp/B0CW9S43R9/ref=sr_1_8?dib=eyJ2IjoiMSJ9.q_SM9EZdQUUwuPNL6xd8tfciZcjzw9v1Q28BoOA-yMAVtN8e3nt_qTyRwN9Qmn8JF9zAgAnf3ag-zC0ChJ9xGyyO0Y9SGpsfFSWtdnliWV8pxyfKenfiI4w77eYC-2ULVcAr6zQJ72N19qEeNIbVu-pJbnQm7LaBcqtNYHydi1M732YEPbi6ZF4bTfO5OdmzQ9vg4Hylk9j_mh-vTTfx_yiufcw-_cjsFnlY3zi_2t1Se5Q0gyYEiHOrcuc6awUtyP7lSJPtOqjJLnVRNejXMdSyggDScvOYnUD0rjSSeF0.erlZwHXomS4veY_i3kKPmy7ydUGI6jhZo9P7H__aApE&dib_tag=se&keywords=Server+Rack+energy+efficient&qid=1744040276&sr=8-8
"Plantex CCTV/NVR/DVR Cabinet Box/Network Rack/CCTV Box Cabinet with Lock and Keys/Server Rack with Power Socket - 3U+, (White) Transparent Glass Door dvr Box for CCTV",2149.0,https://www.amazon.in/Plantex-Cabinet-Network-Server-Socket/dp/B07D17S4FQ/ref=sr_1_9?dib=eyJ2IjoiMSJ9.q_SM9EZdQUUwuPNL6xd8tfciZcjzw9v1Q28BoOA-yMAVtN8e3nt_qTyRwN9Qmn8JF9zAgAnf3ag-zC0ChJ9xGyyO0Y9SGpsfFSWtdnliWV8pxyfKenfiI4w77eYC-2ULVcAr6zQJ72N19qEeNIbVu-pJbnQm7LaBcqtNYHydi1M732YEPbi6ZF4bTfO5OdmzQ9vg4Hylk9j_mh-vTTfx_yiufcw-_cjsFnlY3zi_2t1Se5Q0gyYEiHOrcuc6awUtyP7lSJPtOqjJLnVRNejXMdSyggDScvOYnUD0rjSSeF0.erlZwHXomS4veY_i3kKPmy7ydUGI6jhZo9P7H__aApE&dib_tag=se&keywords=Server+Rack+energy+efficient&qid=1744040276&sr=8-9
"Plantex CCTV/DVR Rack/NVR Cabinet Box/Network Rack/Server Rack/CCTV Camera Box with KeyLock/DVR Box for cctvwith Power Socket - 3U - (Off White & Gray), Metal Transparent Glass Door Cabinet Box",1949.0,https://www.amazon.in/Plantex-Cabinet-Network-Server-Socket/dp/B07D16LKJL/ref=sr_1_10?dib=eyJ2IjoiMSJ9.q_SM9EZdQUUwuPNL6xd8tfciZcjzw9v1Q28BoOA-yMAVtN8e3nt_qTyRwN9Qmn8JF9zAgAnf3ag-zC0ChJ9xGyyO0Y9SGpsfFSWtdnliWV8pxyfKenfiI4w77eYC-2ULVcAr6zQJ72N19qEeNIbVu-pJbnQm7LaBcqtNYHydi1M732YEPbi6ZF4bTfO5OdmzQ9vg4Hylk9j_mh-vTTfx_yiufcw-_cjsFnlY3zi_2t1Se5Q0gyYEiHOrcuc6awUtyP7lSJPtOqjJLnVRNejXMdSyggDScvOYnUD0rjSSeF0.erlZwHXomS4veY_i3kKPmy7ydUGI6jhZo9P7H__aApE&dib_tag=se&keywords=Server+Rack+energy+efficient&qid=1744040276&sr=8-10
